Patient,Method,Completeness Score,Coherence Score,Adherence to Clinical Standards Score,Compassion Score,Total Score
Patient # 1,baseline,4,5,5,4,18
Patient # 1,baseline,5,5,5,4,19
Patient # 1,baseline,4,5,5,4,18
Patient # 1,baseline,5,5,5,4,19
Patient # 1,baseline,4,5,5,3,17
Patient # 1,instruction,4,5,5,4,18
Patient # 1,instruction,5,5,5,4,19
Patient # 1,instruction,4,5,5,4,18
Patient # 1,instruction,4,5,5,4,18
Patient # 1,instruction,5,5,5,4,19
Patient # 1,instruction_example,4,5,5,4,18
Patient # 1,instruction_example,5,4,5,4,18
Patient # 1,instruction_example,5,5,5,4,19
Patient # 1,instruction_example,5,5,5,4,19
Patient # 1,instruction_example,5,5,5,4,19
Patient # 2,baseline,4,5,5,5,19
Patient # 2,baseline,5,5,5,4,19
Patient # 2,baseline,5,5,5,5,20
Patient # 2,baseline,5,5,5,4,19
Patient # 2,baseline,5,5,5,4,19
Patient # 2,instruction,5,5,5,4,19
Patient # 2,instruction,5,5,5,4,19
Patient # 2,instruction,5,5,5,4,19
Patient # 2,instruction,5,5,5,4,19
Patient # 2,instruction,5,5,5,4,19
Patient # 2,instruction_example,4,5,5,4,18
Patient # 2,instruction_example,5,5,5,4,19
Patient # 2,instruction_example,4,5,5,4,18
Patient # 2,instruction_example,5,5,5,4,19
Patient # 2,instruction_example,5,5,5,4,19
Patient # 3,baseline,3,4,4,5,16
Patient # 3,baseline,4,5,5,5,19
Patient # 3,baseline,4,5,5,4,18
Patient # 3,baseline,3,4,5,3,15
Patient # 3,baseline,3,4,4,5,16
Patient # 3,instruction,4,5,5,3,17
Patient # 3,instruction,4,5,4,3,16
Patient # 3,instruction,4,5,5,4,18
Patient # 3,instruction,4,5,5,3,17
Patient # 3,instruction,4,5,5,4,18
Patient # 3,instruction_example,4,5,5,4,18
Patient # 3,instruction_example,4,5,5,3,17
Patient # 3,instruction_example,4,5,5,3,17
Patient # 3,instruction_example,4,5,5,3,17
Patient # 3,instruction_example,4,4,5,4,17
Patient # 4,baseline,3,4,4,4,15
Patient # 4,baseline,4,5,5,4,18
Patient # 4,baseline,3,4,4,3,14
Patient # 4,baseline,4,5,4,3,16
Patient # 4,baseline,4,5,4,3,16
Patient # 4,instruction,4,4,5,4,17
Patient # 4,instruction,4,5,5,4,18
Patient # 4,instruction,4,4,5,3,16
Patient # 4,instruction,4,5,5,4,18
Patient # 4,instruction,5,4,5,4,18
Patient # 4,instruction_example,4,4,5,3,16
Patient # 4,instruction_example,4,4,5,4,17
Patient # 4,instruction_example,4,5,4,4,17
Patient # 4,instruction_example,4,5,4,4,17
Patient # 4,instruction_example,3,4,4,3,14
